district,province,urban_male,urban_female,urban_total,rural_male,rural_female,rural_total,total_male,total_female,total_both,year
province Center (Kabul),Kabul,1260500,1174900,2435400,,,0,1260500,1174900,2435400,1383
Deh Sabz,Kabul,,,0,23600,22400,46000,23600,22400,46000,1383
Mir Bacha kot,Kabul,,,0,22500,22000,44500,22500,22000,44500,1383
Kalakan,Kabul,,,0,13200,12600,25800,13200,12600,25800,1383
Qara Bagh,Kabul,,,0,33100,31900,65000,33100,31900,65000,1383
Farza,Kabul,,,0,9400,8900,18300,9400,8900,18300,1383
Estalef,Kabul,,,0,14600,14000,28600,14600,14000,28600,1383
Guldara,Kabul,,,0,10000,9500,19500,10000,9500,19500,1383
Shakar Dara,Kabul,,,0,35600,34400,70000,35600,34400,70000,1383
Paghman,Kabul,8800,8100,16900,43900,41600,85500,52700,49700,102400,1383
Chahar Asyab,Kabul,,,0,16200,15000,31200,16200.001,15000,31200,1383
Musahi,Kabul,,,0,10200,9700,19900,10200,9700,19900,1383
Khak-i-Jabar,Kabul,,,0,6300,5900,12200,6300,5900,12200,1383
Bagrami,Kabul,,,0,24200,23000,47200,24200,23000,47200,1383
Surubi,Kabul,,,0,24000,23200,47200,24000,23200,47200,1383
province Center (Mahmood Raqi),Kapisa,700,500,1200,26900,26500,53400,27600,27000,54600,1383
Hissa-e-Duwumi Kohistan,Kapisa,,,0,19400,18900,38300,19400,18900,38300,1383
Hissa-e-Awali Kohistan,Kapisa,,,0,29200,28700,57900,29200,28700,57900,1383
Nijrab,Kapisa,,,0,48300,47300,95600,48300,47300,95600,1383
Koh Band,Kapisa,,,0,10000,10000,20000,10000,10000,20000,1383
Tagab,Kapisa,,,0,34400,34400,68800,34400,34400,68800,1383
Alasai,Kapisa,,,0,16500,15700,32200,16500,15700,32200,1383
province Center (Charikar),Parwan,22600,22100,44700,52300,50300,102600,74900,72400,147300,1383
Saidkheil,Parwan,,,0,19800,19000,38800,19800,19000,38800,1383
Jabull saraj,Parwan,700,700,1400,26800,26100,52899.996,27500,26800,54300,1383
Salang,Parwan,,,0,11100,11000,22100,11100,11000,22100,1383
Shinwari,Parwan,,,0,17700,17300,35000,17700,17300,35000,1383
syahgird ('Ghurband),Parwan,,,0,41100,41200,82299.992,41100,41200,82299.992,1383
Bagram,Parwan,,,0,44500,43700,88200,44500,43700,88200,1383
Shaykh Ali,Parwan,,,0,10700,10300,21000,10700,10300,21000,1383
Surkhi parsa,Parwan,,,0,17700,17100,34800,17700,17100,34800,1383
Koh-e- Safi,Parwan,,,0,13300,13100,26400,13300,13100,26400,1383
province Center (Maidan Shahr),Wardak,1200,1200,2400,16200,15600,31800.002,17400,16800,34200,1383
Jalrez,Wardak,,,0,23000,22100,45100,23000,22100,45100,1383
Hissa-e- awali Behsud,Wardak,,,0,16000,15500,31500,16000,15500,31500,1383
Markaz-e- Behsud,Wardak,,,0,51500,50000,101500,51500,50000,101500,1383
Daimir Dad,Wardak,,,0,13400,13000,26400,13400,13000,26400,1383
Jaghatoo,Wardak,,,0,19800,19100,38899.996,19800,19100,38899.996,1383
Chak-e- Wardak,Wardak,,,0,36800,35000,71800,36800,35000,71800,1383
Sayyid Abad,Wardak,,,0,50600,48200,98799.992,50600,48200,98799.992,1383
Nerkh,Wardak,,,0,25000,23500,48500,25000,23500,48500,1383
province Center(Puli Alam),Logar,2200,2100,4300,43300,42100,85400,45500,44200,89700,1383
Baraki Barak,Logar,1700,1700,3400,36100,34800,70900,37800,36500,74300,1383
Charkh,Logar,,,0,19200,18600,37800,19200,18600,37800,1383
khushi,Logar,,,0,10400,10100,20500,10400,10100,20500,1383
Mohammad Agha,Logar,,,0,32800,31400,64199.996,32800,31400,64199.996,1383
Khar war,Logar,,,0,11300,11000,22300,11300,11000,22300,1383
Azra,Logar,,,0,8900,8400,17300,8900,8400,17300,1383
province Center(Ghazni),Ghazni,23900,22900,46800,45000,43600,88600,68900,66500,135400.02,1383
Deh Yak,Ghazni,,,0,21200,20400,41600.004,21200,20400,41600.004,1383
Zanakhan,Ghazni,,,0,5500,5200,10700,5500,5200,10700,1383
Khwaja Omari,Ghazni,,,0,8100,8000,16100,8100.0005,8000,16100,1383
Rashidan,Ghazni,,,0,7800,7500,15300,7800,7500,15300,1383
Khogiani,Ghazni,,,0,8800,8300,17100,8800,8300,17100,1383
Jaghatoo,Ghazni,,,0,13800,13200,27000,13800,13200,27000,1383
Waghaz,Ghazni,,,0,16900,15900,32800,16900,15900,32800,1383
Qara Bagh,Ghazni,,,0,62100,59400,121500,62100,59400,121500,1383
Giro,Ghazni,,,0,16200,14900,31100,16200.001,14900,31100,1383
Andar,Ghazni,,,0,54500,51600,106100,54500,51600,106100,1383
Nawur,Ghazni,,,0,40900,39600,80500,40900,39600,80500,1383
Ajristan,Ghazni,,,0,12600,11900,24500,12600,11900,24500,1383
Malestan,Ghazni,,,0,35100,34700,69799.992,35100,34700,69799.992,1383
Jaghuri,Ghazni,,,0,76500,73700,150200,76500,73700,150200,1383
Muqur,Ghazni,,,0,22200,20600,42800,22200,20600,42800,1383
Ab Band,Ghazni,,,0,12100,11300,23400,12100,11300,23400,1383
Gelan,Ghazni,,,0,25200,24000,49200,25200,24000,49200,1383
Nawa,Ghazni,,,0,13000,12300,25300,13000,12300,25300,1383
province Center(Sharan),Paktika,1200,1000,2200,20600,19700,40300,21800,20700,42500,1383
Zarghun Shahr,Paktika,,,0,13000,12400,25400,13000,12400,25400,1383
Dela-wa-khoshmand,Paktika,,,0,11000,10400,21400,11000,10400,21400,1383
Wazakhwah,Paktika,,,0,10100,9600,19700,10100,9600,19700,1383
Wormamay,Paktika,,,0,1500,1500,3000,1500,1500,3000,1383
Gomal,Paktika,,,0,3400,3200,6600,3400,3200,6600,1383
Omna,Paktika,,,0,5300,5000,10300,5300,5000,10300,1383
Surubi,Paktika,,,0,5400,5200,10600,5400,5200,10600,1383
Barmal,Paktika,,,0,15200,14400,29600,15200,14400,29600,1383
Giyan,Paktika,,,0,15200,14400,29600,15200,14400,29600,1383
Urgoon,Paktika,,,0,24100,22900,47000,24100,22900,47000,1383
Ziruk,Paktika,,,0,8400,8000,16400,8400,8000,16400,1383
Nika,Paktika,,,0,5500,5100,10600,5500,5100,10600,1383
Sar Rawza,Paktika,,,0,10100,9600,19700,10100,9600,19700,1383
Mata Khan,Paktika,,,0,10900,10300,21199.998,10900,10300,21199.998,1383
Jani Khel,Paktika,,,0,10500,9900,20400,10500,9900,20400,1383
Turwo,Paktika,,,0,900,900,1800,900,900,1800,1383
Yosuf Khel,Paktika,,,0,5900,5600,11500,5900,5600,11500,1383
Yahya Khel,Paktika,,,0,7600,7200,14800,7600,7200,14800,1383
province Center(Gardez),Paktia,9800,9400,19200,25900,24800,50700,35700,34200,69900,1383
Said Karam,Paktia,,,0,28100,26600,54700,28100,26600,54700,1383
Zurmat,Paktia,,,0,46800,44700,91500,46800,44700,91500,1383
Shwak,Paktia,,,0,2400,2300,4700.0005,2400,2300,4700.0005,1383
Wuza Zadran,Paktia,,,0,15600,14600,30200,15600,14600,30200,1383
Laja Ahmad khel,Paktia,,,0,18100,17300,35400,18100,17300,35400,1383
Jani Khel,Paktia,,,0,15300,14400,29700,15300,14400,29700,1383
Dand Patan,Paktia,,,0,11600,11000,22600,11600,11000,22600,1383
Samkani,Paktia,,,0,21400,21100,42500,21400,21100,42500,1383
Jaji,Paktia,,,0,27500,26100,53600,27500,26100,53600,1383
Ahmad Abad,Paktia,,,0,11900,11800,23699.998,11900,11800,23699.998,1383
province Center(Khost),Khost,4700,4400,9099.999,54600,52800,107400,59300,57200,116500,1383
Tirzayee (Ali Sher),Khost,,,0,19600,18400,38000,19600,18400,38000,1383
Baak,Khost,,,0,9600,9200,18800.002,9600,9200,18800.002,1383
Jaji Maidan,Khost,,,0,10600,9900,20500,10600,9900,20500,1383
Sabari (Yaqubi),Khost,,,0,30700,29600,60300,30700,29600,60300,1383
Musa khel,Khost,,,0,17800,17100,34899.996,17800,17100,34899.996,1383
Qalandar,Khost,,,0,4500,4200,8700,4500,4200,8700,1383
Nadir Shah kot,Khost,,,0,14000,13100,27100,14000,13100,27100,1383
Manduzay (Esmayel khil),Khost,,,0,24700,23300,48000,24700,23300,48000,1383
Shamul,Khost,,,0,6000,5600,11600,6000,5600,11600,1383
Spera,Khost,,,0,10700,10000,20700,10700,10000,20700,1383
Tanay,Khost,,,0,25800,24900,50700,25800,24900,50700,1383
Gurbuz,Khost,,,0,11500,10800,22300,11500,10800,22300,1383
province Center (Jalalabad),Ningarhar,83400,78600,162000,,,0,83400,78600,162000,1383
Behsud,Ningarhar,,,0,49100,47600,96700,49100,47600,96700,1383
Surkh Rud,Ningarhar,,,0,52800,49700,102500,52800,49700,102500,1383
Chapar har,Ningarhar,,,0,26100,25200,51300,26100,25200,51300,1383
Rodat,Ningarhar,,,0,30200,28600,58800,30200,28600,58800,1383
Kama,Ningarhar,,,0,33500,31900,65400,33500,31900,65400,1383
Kuzkunar,Ningarhar,,,0,24100,22700,46800,24100,22700,46800,1383
Darah -e- Noor,Ningarhar,,,0,17500,16800,34300,17500,16800,34300,1383
Sher Zad,Ningarhar,,,0,28700,27700,56400,28700,27700,56400,1383
Hesarak,Ningarhar,,,0,13400,12800,26199.998,13400,12800,26199.998,1383
Khogyani,Ningarhar,1900,1800,3700,55000,52100,107100,56900,53900,110800,1383
Pachir Waagam,Ningarhar,,,0,18600,17600,36200,18600,17600,36200,1383
Deh Bala,Ningarhar,,,0,17600,16700,34300,17600,16700,34300,1383
Kott,Ningarhar,,,0,22400,21900,44300,22400,21900,44300,1383
Achin,Ningarhar,,,0,43400,41900,85300,43400,41900,85300,1383
Nazyan,Ningarhar,,,0,6500,6000,12500,6500,6000,12500,1383
Dur Baba,Ningarhar,,,0,10200,9600,19800,10200,9600,19800,1383
Shinwar,Ningarhar,,,0,26000,25000,51000,26000,25000,51000,1383
Bati Kot,Ningarhar,,,0,32800,31600,64400,32800,31600,64400,1383
Muhmand ِِDara,Ningarhar,,,0,19600,18600,38200,19600,18600,38200,1383
Goshta,Ningarhar,,,0,11800,11400,23200,11800,11400,23200,1383
Lalpoor,Ningarhar,,,0,8900,8500,17400,8900,8500,17400,1383
province Center (Asad Abad),Kunar,5600,5200,10800,8700,8200,16900,14300,13400,27700,1383
Watapoor,Kunar,,,0,11900,11400,23300,11900,11400,23300,1383
Dara-e- Pech,Kunar,,,0,23900,22600,46500,23900,22600,46500,1383
Narang Wa Badil,Kunar,,,0,13100,12600,25700,13100,12600,25700,1383
Sar Kani,Kunar,,,0,11800,11400,23200,11800,11400,23200,1383
Mara wara,Kunar,,,0,8800,8600,17400,8800,8600,17400,1383
Dangam,Kunar,,,0,7400,7000,14400,7400,7000,14400,1383
Bar Kunar,Kunar,,,0,9500,9200,18700,9500,9200,18700,1383
Shigal Wa Sheltan,Kunar,,,0,12700,12200,24900,12700,12200,24900,1383
Chapa Dara,Kunar,,,0,13600,12800,26400,13600,12800,26400,1383
Noorgal,Kunar,,,0,13900,13000,26900,13900,13000,26900,1383
Sawkai,Kunar,,,0,15600,14800,30400,15600,14800,30400,1383
Khas Kunar,Kunar,,,0,15100,14700,29800.002,15100,14700,29800.002,1383
Nari,Kunar,,,0,12100,11400,23500,12100,11400,23500,1383
Ghazi Abad,Kunar,,,0,8100,7800,15900.001,8100.0005,7800,15900.001,1383
province Center (Mehterlam),Laghman,2100,1900,4000,57600,54700,112299.99,59700,56600,116299.99,1383
Qarghayee,Laghman,,,0,42700,40700,83400,42700,40700,83400,1383
Alingar,Laghman,,,0,42200,40100,82300,42200,40100,82300,1383
Alishing,Laghman,,,0,31000,29700,60700,31000,29700,60700,1383
Dawlat Shah,Laghman,,,0,14500,13800,28300,14500,13800,28300,1383
province Center (Paroon),Nooristan,,,0,5900,5600,11500,5900,5600,11500,1383
Noor Gram,Nooristan,,,0,14100,13400,27500,14100,13400,27500,1383
Duab,Nooristan,,,0,3300,3400,6700,3300,3400,6700,1383
Waygal,Nooristan,,,0,8800,7900,16700,8800,7900,16700,1383
Wama,Nooristan,,,0,4800,4600,9400.001,4800,4600,9400.001,1383
Mandol,Nooristan,,,0,8700,8100,16800,8700,8100.0005,16800,1383
Kamdish,Nooristan,,,0,10700,10800,21500,10700,10800,21500,1383
Bargi Matal,Nooristan,,,0,6600,6600,13200,6600,6600,13200,1383
province center (Faiz Abad),Badakhshan,13400,12800,26199.998,14700,14300,29000,28100,27100,55199.996,1383
Yaftal-e-Sufla,Badakhshan,,,0,22600,22300,44900,22600,22300,44900,1383
Urgo,Badakhshan,,,0,34300,32400,66700,34300,32400.002,66700,1383
Darayem,Badakhshan,,,0,26600,25800,52400,26600,25800,52400,1383
Khash,Badakhshan,,,0,16500,15900,32400.002,16500,15900,32400.002,1383
Jurm,Badakhshan,1500,1400,2900,14600,14300,28900,16100,15700,31800,1383
Wardooj,Badakhshan,,,0,9500,9100,18600,9500,9100,18600,1383
Baharak,Badakhshan,,,0,12300,12200,24500,12300,12200,24500,1383
Shuhada,Badakhshan,,,0,15100,14300,29400,15100,14300,29400,1383
Hissa-e-Awali Kohistan,Badakhshan,,,0,7300,6800,14100,7300,6800,14100,1383
Yawan,Badakhshan,,,0,14200,13400,27600,14200,13400,27600,1383
Shahr-i-Buzurg,Badakhshan,,,0,22500,22000,44500,22500,22000,44500,1383
Kishm,Badakhshan,,,0,35200,33600,68800,35200,33600,68800,1383
Tagab,Badakhshan,,,0,12200,11700,23900,12200,11700,23900,1383
Tashkan,Badakhshan,,,0,13100,12300,25400,13100,12300,25400,1383
Keren –o-Menjan,Badakhshan,,,0,4100,4000,8100.0005,4100,4000,8100.0005,1383
Zebak,Badakhshan,,,0,3500,3200,6700,3500,3200,6700,1383
Eshkashem,Badakhshan,,,0,6000,5800,11800,6000,5800,11800,1383
Wakhan,Badakhshan,,,0,6500,6200,12700,6500,6200,12700,1383
Sheghnan,Badakhshan,,,0,12200,11500,23700,12200,11500,23700,1383
Arghanj Khwah,Badakhshan,,,0,6900,6800,13700,6900,6800,13700,1383
Raghistan,Badakhshan,,,0,17300,16400,33700,17300,16400,33700,1383
Khwahan,Badakhshan,,,0,7100,7000,14100,7100,7000,14100,1383
Kufab,Badakhshan,,,0,9500,9500,19000,9500,9500,19000,1383
Yamgan(Girwan),Badakhshan,,,0,11300,10600,21900,11300,10600,21900,1383
Darwaz-e- Bala (Nesay),Badakhshan,,,0,9900,9800,19699.998,9900,9800,19699.998,1383
Darwaz-e- Payin (Mamay),Badakhshan,,,0,11400,11100,22500,11400,11100,22500,1383
Shiki,Badakhshan,,,0,11300,11100,22400,11300,11100,22400,1383
province Center (Taluqan),Takhar,28700,28200,56900,67300,64300,131600,96000,92500,188500,1383
Hazar Sumuch,Takhar,,,0,6000,5700,11700,6000,5700,11700,1383
Baharak,Takhar,,,0,13400,12900,26300,13400,12900,26300,1383
Khwaja Ghar,Takhar,2800,2700,5500,26100,25100,51200,28900,27800,56700,1383
Bangi,Takhar,,,0,15100,14800,29900,15100,14800,29900,1383
Eshkamesh,Takhar,,,0,25400,24800,50200,25400,24800,50200,1383
Chal,Takhar,,,0,12400,11600,24000,12400,11600,24000,1383
Namak Ab,Takhar,,,0,5300,5100,10400.001,5300,5100,10400.001,1383
Farkhar,Takhar,1000,1100,2100,19200,18400,37600.004,20200,19500,39700,1383
Kalafgan,Takhar,,,0,15100,14900,30000,15100,14900,30000,1383
Rustaq,Takhar,5200,4900,10099.999,66100,62800,128899.99,71300,67700,139000,1383
Chahab,Takhar,9600,9100,18700,24000,23000,47000,33600,32099.998,65700,1383
Yangi Qala,Takhar,3900,3600,7500,15200,14700,29900,19100,18300,37400,1383
Khwaja Bahawuddin,Takhar,,,0,9900,9900,19800,9900,9900,19800,1383
Darqad,Takhar,,,0,11900,11000,22900,11900,11000,22900,1383
Dashti Qala,Takhar,,,0,13800,13400,27200,13800,13400,27200,1383
Warsaj,Takhar,,,0,16600,15700,32300,16600,15700,32300,1383
province Center (Pul-i-Khumri),Baghlan,43000,40900,83900,46100,43600,89700,89100,84500,173600,1383
Baghlan-e- Jadeed,Baghlan,27100,26900,54000,45600,43800,89400,72700,70700,143400,1383
Dahana-e-Ghuri,Baghlan,700,600,1300,25000,23700,48700,25700,24300,50000,1383
Dooshi,Baghlan,,,0,29100,27800,56900,29100,27800,56900,1383
Khenjan,Baghlan,,,0,13200,12700,25900,13200,12700,25900,1383
Andarab,Baghlan,,,0,11100,10600,21700,11100,10600,21700,1383
Nahreen,Baghlan,2100,1900,4000,28000,26600,54600,30100,28500,58600,1383
Burka,Baghlan,,,0,23000,21800,44800,23000,21800,44800,1383
Talah-o-barfak,Baghlan,,,0,13300,12400,25700,13300,12400,25700,1383
Pul –e-Hisar,Baghlan,,,0,12200,11300,23500,12200,11300,23500,1383
Deh Salah,Baghlan,,,0,14100,13100,27200,14100,13100,27200,1383
Khwaja hejran (Jalga),Baghlan,,,0,10500,9800,20300,10500,9800,20300,1383
Khost –o-Fereng,Baghlan,,,0,27600,26100,53700,27600,26100,53700,1383
Freng-o-Gharoo,Baghlan,,,0,7200,6900,14099.999,7200,6900,14099.999,1383
Gozargah-e- Noor,Baghlan,,,0,4500,4100,8600,4500,4100,8600,1383
province Center (Kunduz),Kunduz,58000,54800,112800,71400,69300,140700,129399.99,124100,253500,1383
Hazrati Imam Sahib,Kunduz,14100,13500,27600,85800,82700,168500,99900,96200,196100,1383
Qala –i-Zal,Kunduz,7600,7150,14750,22100,21400,43500,29700,28550,58250,1383
Chahar Darah,Kunduz,,,0,31800,30700,62500,31800,30700,62500,1383
Ali Abad,Kunduz,,,0,20300,19800,40100,20300,19800,40100,1383
Khan Abad,Kunduz,16600,15700,32300,51700,51000,102700,68300,66700,135000,1383
Dasht-i- Archi,Kunduz,1400,1200,2600,35100,34200,69299.992,36500,35400,71900,1383
province Center (Aybak),Samangan,11500,11500,23000,32600,31100,63699.996,44100,42600,86700,1383
Hazrat –i-Sultan,Samangan,,,0,18200,17000,35200,18200,17000,35200,1383
Feroz Nakhcheer,Samangan,,,0,5700,5400,11099.999,5700,5400,11099.999,1383
Dara -e-soof-e- Bala,Samangan,,,0,27800,27200,55000,27800,27200,55000,1383
Dara -e-soof-i-Payin,Samangan,,,0,31300,29500,60800,31300,29500,60800,1383
Rui- Do- Ab,Samangan,,,0,20200,18600,38800,20200,18600,38800,1383
Khuram Wa Sarbagh,Samangan,,,0,17300,16600,33899.996,17300,16600,33899.996,1383
province Center (Mazar-e- sharif),Balkh,148100,140600,288700,,,0,148100,140600,288700,1383
Dehdadi,Balkh,,,0,29400,28000,57400,29400,28000,57400,1383
Nahr-i-shahi,Balkh,,,0,19500,18700,38200,19500,18700,38200,1383
Marmul,Balkh,,,0,4900,4800,9700,4900,4800,9700,1383
Khulm,Balkh,20200,19000,39200,9700,9300,19000,29900.002,28300,58200,1383
Kaldar,Balkh,,,0,8700,8300,17000,8700,8300,17000,1383
Shortepa,Balkh,,,0,17300,16400,33700,17300,16400,33700,1383
Dawlat Abad,Balkh,4400,4100,8500,41000,39200,80200,45400,43300,88700,1383
Balkh,Balkh,6300,5900,12200,45200,43700,88900,51500,49600,101100,1383
Char Bolak,Balkh,,,0,35100,33800,68900,35100,33800,68900,1383
Chamtal,Balkh,,,0,39700,38300,78000,39700,38300,78000,1383
Sholgara,Balkh,4200,4000,8200,45100,43100,88200,49300,47100,96400,1383
Char kent,Balkh,,,0,19400,18400,37800,19400,18400,37800,1383
Koshendah,Balkh,,,0,21100,20300,41400,21100,20300,41400,1383
Zari,Balkh,,,0,19000,18300,37300,19000,18300,37300,1383
province Center (Sheberghan),Juzjan,32200,31300,63500,37800,36800,74600,70000,68100,138100,1383
Aqchah,Juzjan,9700,9300,19000,15700,15200,30900,25400,24500,49900,1383
Faizabad,Juzjan,,,0,18100,17300,35400,18100,17300,35400,1383
Mardyan,Juzjan,,,0,16600,16200,32800,16600,16200.001,32800,1383
Mingajik,Juzjan,,,0,18700,17800,36500,18700,17800,36500,1383
Qarqin,Juzjan,3100,2900,6000,7400,7200,14600,10500,10100,20600,1383
Khamyab,Juzjan,,,0,6100,5800,11900,6100,5800,11900,1383
Qush Tepa,Juzjan,,,0,10200,9800,20000,10200,9800,20000,1383
Darzab,Juzjan,800,800,1600,20500,19600,40100,21300,20400,41700,1383
Khwaja Dukoh,Juzjan,,,0,11700,11200,22900,11700,11200,22900,1383
Khanaqa,Juzjan,,,0,17000,16500,33500,17000,16500,33500,1383
province Center (Sar-e-Pul),Sar-i-Pul,12300,11600,23900,54800,51900,106700,67100,63500,130599.99,1383
Sozma Qala,Sar-i-Pul,,,0,21400,20700,42100,21400,20700,42100,1383
Sayyad,Sar-i-Pul,,,0,24000,22400,46400,24000,22400,46400,1383
Kohistanat,Sar-i-Pul,,,0,34900,33200,68100,34900,33200,68100,1383
Balkhab,Sar-i-Pul,,,0,22000,20800,42800,22000,20800,42800,1383
Sancharak,Sar-i-Pul,5200,4800,10000,39100,36400,75500,44300,41200,85500,1383
Gosfandi,Sar-i-Pul,,,0,23700,24500,48200,23700,24500,48200,1383
province Center (Maimana),Faryab,33300,31800,65100,,,0,33300,31800,65100,1383
Pashtun kot,Faryab,,,0,82600,78000,160600,82600,78000,160600,1383
Khuwaja Sabz Posh –i-Wali,Faryab,,,0,22200,21000,43200,22200,21000,43200,1383
Almar,Faryab,,,0,30300,29500,59800,30300,29500,59800,1383
Qaisar,Faryab,,,0,62000,59200,121200,62000,59200,121200,1383
Hissa-e-Awali Kohistan,Faryab,,,0,23600,22800,46400,23600,22800,46400,1383
Garziwan,Faryab,,,0,32700,31800,64500,32700,31800,64500,1383
Balcheragh,Faryab,,,0,22800,21600,44399.996,22800,21600,44399.996,1383
Sherin Tagab,Faryab,,,0,35400,33900,69300,35400,33900,69300,1383
Dawlat Abad,Faryab,2000,2000,4000,18900,18200,37100,20900,20200,41100,1383
Qaram Qul,Faryab,,,0,8400,8300,16699.998,8400,8300,16699.998,1383
Khan –i-Charbagh,Faryab,,,0,10000,9700,19700,10000,9700,19700,1383
Andkhoy,Faryab,12900,12800,25699.998,3400,3300,6700.0005,16299.999,16100,32399.998,1383
Qurghan,Faryab,,,0,20300,19800,40100,20300,19800,40100,1383
province Center (Qala-i- Now),Badghis,5900,5600,11500,22500,21500,44000,28400,27100,55500,1383
Muqur,Badghis,,,0,10300,9900,20200,10300,9900,20200,1383
Ab Kamari,Badghis,,,0,32000,30600,62600,32000,30600,62600,1383
Qadis,Badghis,,,0,39900,37500,77400,39900,37500,77400,1383
Jawand,Badghis,,,0,34000,33100,67100,34000,33100,67100,1383
Ghormach,Badghis,,,0,23900,23000,46900,23900,23000,46900,1383
Murghab,Badghis,,,0,42300,40400,82700,42300,40400,82700,1383
province Center (Herat),Herat,170200,165000,335200,,,0,170200,165000,335200,1383
Enjil,Herat,,,0,109400,105700,215100,109400,105700,215100,1383
Guzera (Nizam-i- Shahid),Herat,,,0,63300,61600,124900,63300,61600,124900,1383
Pashtun Zarghun,Herat,,,0,43500,41800,85300,43500,41800,85300,1383
Karrukh,Herat,2800,2600,5400,24500,24100,48600,27300,26700,54000,1383
Kushk (Rubat-i-Sangi),Herat,,,0,46400,45300,91700.008,46400,45300,91700.008,1383
Gulran,Herat,,,0,40100,40000,80100,40100,40000,80100,1383
Kohsan,Herat,,,0,23200,23100,46300,23200,23100,46300,1383
Ghoryan,Herat,13900,13300,27199.998,23500,23000,46500,37400,36300,73700,1383
Zendahjan,Herat,,,0,24400,24200,48600,24400,24200,48600,1383
Adraskan,Herat,,,0,23000,22700,45700,23000,22700,45700,1383
Shindand,Herat,2100,1900,4000,74400,73500,147900,76500,75400,151900,1383
Farsi,Herat,,,0,13500,12600,26100,13500,12600,26100,1383
Obeh,Herat,1400,1400,2800,31300,30200,61500,32700,31600,64299.996,1383
Chishti Sharif,Herat,,,0,10300,9900,20200,10300,9900,20200,1383
Kushk-i- Kuhna,Herat,,,0,19700,19200,38900,19700,19200,38900,1383
Shahre-i-Torghondi,Herat,6700,6700,13400,,,0,6700,6700,13400,1383
province Center (Farah),Farah,15000,14000,29000,32800,31400,64199.996,47800,45400,93200,1383
Posht Road,Farah,,,0,17800,16800,34600,17800,16800,34600,1383
Khak-i-safed,Farah,,,0,13100,12700,25800.002,13100,12700,25800.002,1383
Anar Dara,Farah,,,0,12100,11600,23700,12100,11600,23700,1383
Qala-i-kah,Farah,,,0,13300,12900,26200,13300,12900,26200,1383
Sheibkoh,Farah,,,0,10100,9800,19900,10100,9800,19900,1383
Lash-i- Jaween,Farah,,,0,12200,11600,23800,12200,11600,23800,1383
Bakwa,Farah,,,0,15500,14700,30200,15500,14700,30200,1383
Bala Blook,Farah,,,0,31300,29500,60800,31300,29500,60800,1383
Gulestan,Farah,,,0,18900,18000,36900,18900,18000,36900,1383
Pur Chaman,Farah,,,0,23600,21900,45500,23600,21900,45500,1383
province Center (Zaranj),Nimroz,10500,10100,20600,13500,12800,26300,24000,22900,46899.996,1383
Kang,Nimroz,,,0,9700,9400,19100,9700,9400,19100,1383
Char Burjak,Nimroz,,,0,11600,10900,22500,11600,10900,22500,1383
Asl-i-chakhansur,Nimroz,,,0,10300,9900,20200,10300,9900,20200,1383
Khashrod,Nimroz,,,0,13900,13300,27199.998,13900,13300,27199.998,1383
province Center (Lashkargah),Helmand,18100,16400,34500,26300,25000,51300,44400,41400,85800,1383
Nahr-i- Saraj,Helmand,4200,3900,8099.9995,46800,44500,91300,51000,48400,99399.992,1383
Kajaki,Helmand,,,0,31100,29600,60700,31100,29600,60700,1383
Musa Qala,Helmand,,,0,25800,24500,50300,25800,24500,50300,1383
Baghran,Helmand,,,0,35600,33800,69400,35600,33800,69400,1383
Nawzad,Helmand,,,0,22200,21100,43300,22200,21100,43300,1383
Washer,Helmand,,,0,6800,6500,13300,6800,6500,13300,1383
Nad Ali,Helmand,,,0,51500,49000,100500,51500,49000,100500,1383
Nawa-i- Barikzayi,Helmand,,,0,40600,38500,79100,40600,38500,79100,1383
Reg-i-Khan Nishin,Helmand,,,0,11500,10900,22400,11500,10900,22400,1383
Dishu,Helmand,,,0,8900,8500,17400,8900,8500,17400,1383
Garm Ser,Helmand,,,0,38400,36400,74800,38400,36400,74800,1383
Sangin,Helmand,,,0,26100,24800,50900,26100,24800,50900,1383
province Center (Kandahar),Kandhar,160500,151300,311800,61700,58800,120500,222200,210100,432300,1383
Daman,Kandhar,,,0,15200,14300,29500,15200,14300,29500,1383
Arghandab,Kandhar,,,0,27100,25600,52700,27100,25600,52700,1383
Shah Wali Kot,Kandhar,,,0,18900,18000,36900,18900,18000,36900,1383
Khakrez,Kandhar,,,0,9900,9500,19400,9900,9500,19400,1383
Ghorak,Kandhar,,,0,4200,4000,8200,4200,4000,8200,1383
Maiwand,Kandhar,,,0,25300,24600,49899.996,25300,24600,49899.996,1383
Panjwayee,Kandhar,,,0,37700,36400,74100,37700,36400,74100,1383
Reg,Kandhar,,,0,3900,3700,7600,3900,3700,7600,1383
Shorabak,Kandhar,,,0,5000,4800,9800,5000,4800,9800,1383
Spin Boldak,Kandhar,,,0,49600,46800,96400,49600,46800,96400,1383
Arghistan,Kandhar,,,0,15000,14300,29300,15000,14300,29300,1383
Maruf,Kandhar,,,0,14400,13700,28100,14400,13700,28100,1383
Zhire,Kandhar,,,0,37400,35600,73000,37400,35600,73000,1383
Miyanishin,Kandhar,,,0,6600,6200,12800,6600,6200,12800,1383
Nesh,Kandhar,,,0,5800,5600,11400.001,5800,5600,11400.001,1383
province Center (Qalat),Zabul,4900,4600,9500,10200,9800,20000,15100,14400,29500,1383
Shah Joi,Zabul,,,0,25500,24200,49700,25500,24200,49700,1383
Arghandab,Zabul,,,0,14300,13500,27800,14300,13500,27800,1383
