Ghazni,Ajristan,total_both,24500,24900,25500,25700,26200,26600,27000,27600,28000,28400,28900,29402,29883,30371
Ghazni,Ajristan,total_female,11900,12100,12400,12500,12700,12900,13100,13400,13600,13800,14000,14281,14515,14682
Ghazni,Ajristan,total_male,12600,12800,13100,13200,13500,13700,13900,14200,14400,14600,14900,15121,15368,15689
Ghazni,Ajristan,urban_female,,,,,,,,,,,,,,
Ghazni,Ajristan,urban_male,,,,,,,,,,,,,,
Ghazni,Ajristan,urban_total,,,,,,,,,,,,,,
Kunduz,Akhtash,rural_female,,,,,,,,,,,,,12295,12436
Kunduz,Akhtash,rural_male,,,,,,,,,,,,,13019,13291
Kunduz,Akhtash,rural_total,,,,,,,,,,,,,25314,25727
Kunduz,Akhtash,total_both,,,,,,,,,,,,,25314,25727
Kunduz,Akhtash,total_female,,,,,,,,,,,,,12295,12436
Kunduz,Akhtash,total_male,,,,,,,,,,,,,13019,13291
Kunduz,Akhtash,urban_female,,,,,,,,,,,,,,
Kunduz,Akhtash,urban_male,,,,,,,,,,,,,,
Kunduz,Akhtash,urban_total,,,,,,,,,,,,,,
Kapisa,Alasai,rural_female,15700,16000,35800,16500,16800,17100,17400,17600,17900,18200,18500,18841,19150,19370
Kapisa,Alasai,rural_male,16500,16800,35900,17300,17600,17900,18200,18600,18800,19200,19500,19801,20125,20546
Kapisa,Alasai,rural_total,32200,32800,71700,33800,34400,35000,35600,36200,36700,37400,38000,38642,39275,39916
Kapisa,Alasai,total_both,32200,32800,71700,33800,34400,35000,35600,36200,36700,37400,38000,38642,39275,39916
Kapisa,Alasai,total_female,15700,16000,35800,16500,16800,17100,17400,17600,17900,18200,18500,18841,19150,19370
Kapisa,Alasai,total_male,16500,16800,35900,17300,17600,17900,18200,18600,18800,19200,19500,19801,20125,20546
Kapisa,Alasai,urban_female,,,,,,,,,,,,,,
Kapisa,Alasai,urban_male,,,,,,,,,,,,,,
Kapisa,Alasai,urban_total,,,,,,,,,,,,,,
Kunduz,Ali Abad,rural_female,19800,20200,20600,20800,21200,21500,21900,22300,22600,23000,23400,23761,24150,24432
Kunduz,Ali Abad,rural_male,20300,20700,21100,21300,21700,22100,22500,22800,23200,23600,23900,24361,24760,25277
Kunduz,Ali Abad,rural_total,40100,40900,41700,42100,42900,43600,44400,45100,45800,46600,47300,48122,48910,49709
Kunduz,Ali Abad,total_both,40100,40900,41700,42100,42900,43600,44400,45100,45800,46600,47300,48122,48910,49709
Kunduz,Ali Abad,total_female,19800,20200,20600,20800,21200,21500,21900,22300,22600,23000,23400,23761,24150,24432
Kunduz,Ali Abad,total_male,20300,20700,21100,21300,21700,22100,22500,22800,23200,23600,23900,24361,24760,25277
Kunduz,Ali Abad,urban_female,,,,,,,,,,,,,,
Kunduz,Ali Abad,urban_male,,,,,,,,,,,,,,
Kunduz,Ali Abad,urban_total,,,,,,,,,,,,,,
Laghman,Alingar,rural_female,40100,40900,41700,42200,42900,43600,44300,45100,45800,46600,47300,48122,48911,49476
Laghman,Alingar,rural_male,42200,43000,43900,44400,45100,45900,46600,47400,48200,49000,49900,50642,51472,52545
Laghman,Alingar,rural_total,82300,83900,85600,86600,88000,89500,90900,92500,94000,95600,97200,98764,100383,102021
Laghman,Alingar,total_both,82300,83900,85600,86600,88000,89500,90900,92500,94000,95600,97200,98764,100383,102021
Laghman,Alingar,total_female,40100,40900,41700,42200,42900,43600,44300,45100,45800,46600,47300,48122,48911,49476
Laghman,Alingar,total_male,42200,43000,43900,44400,45100,45900,46600,47400,48200,49000,49900,50642,51472,52545
Laghman,Alingar,urban_female,,,,,,,,,,,,,,
Laghman,Alingar,urban_male,,,,,,,,,,,,,,
Laghman,Alingar,urban_total,,,,,,,,,,,,,,
Laghman,Alishing,rural_female,29700,30300,30900,31200,31800,32300,32800,33400,33900,34500,35100,35642,36226,36645
Laghman,Alishing,rural_male,31000,31600,32300,32600,33100,33700,34300,34900,35400,36000,36600,37202,37811,38600
Laghman,Alishing,rural_total,60700,61900,63200,63800,64900,66000,67100,68300,69300,70500,71700,72844,74037,75245
Laghman,Alishing,total_both,60700,61900,63200,63800,64900,66000,67100,68300,69300,70500,71700,72844,74037,75245
Laghman,Alishing,total_female,29700,30300,30900,31200,31800,32300,32800,33400,33900,34500,35100,35642,36226,36645
Laghman,Alishing,total_male,31000,31600,32300,32600,33100,33700,34300,34900,35400,36000,36600,37202,37811,38600
Laghman,Alishing,urban_female,,,,,,,,,,,,,,
Laghman,Alishing,urban_male,,,,,,,,,,,,,,
Laghman,Alishing,urban_total,,,,,,,,,,,,,,
Faryab,Almar,rural_female,29500,30100,30700,31000,31500,32100,32600,33200,33700,34300,34800,35402,35982,36401
Faryab,Almar,rural_male,30300,30900,31600,31900,32400,32900,33500,34100,34600,35200,35800,36362,36957,37728
Faryab,Almar,rural_total,59800,61000,62300,62900,63900,65000,66100,67300,68300,69500,70600,71764,72939,74129
Faryab,Almar,total_both,59800,61000,62300,62900,63900,65000,66100,67300,68300,69500,70600,71764,72939,74129
Faryab,Almar,total_female,29500,30100,30700,31000,31500,32100,32600,33200,33700,34300,34800,35402,35982,36401
Faryab,Almar,total_male,30300,30900,31600,31900,32400,32900,33500,34100,34600,35200,35800,36362,36957,37728
Faryab,Almar,urban_female,,,,,,,,,,,,,,
Faryab,Almar,urban_male,,,,,,,,,,,,,,
Faryab,Almar,urban_total,,,,,,,,,,,,,,
